rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
1,2376,技嘉,262.5,1.79,4.58,12.45,42.84,65.7,12,74.8,830447.0,458409.0,8348023.0,1255795.0,True,True,81.68,81.07,81.36,通過,通過
2,8070,長華*,47.6,2.35,1.6,9.11,3.77,63.8,8,32.3,-1059000.0,6000.0,296000.0,16000.0,True,True,56.38,83.83,70.65,通過,通過
3,5469,瀚宇博,90.1,2.66,5.88,5.33,8.17,57.1,4,47.4,728100.0,-766.0,1218100.0,234.0,True,True,37.34,85.22,62.24,通過,通過
4,3305,昇貿,116.5,2.59,7.37,10.05,11.98,60.4,4,72.7,1048000.0,0.0,2529999.0,0.0,True,True,44.57,76.75,61.3,通過,通過
5,2301,光寶科,161.5,1.81,4.19,2.98,62.76,53.6,5,23.4,189231.0,57176.0,10535786.0,38827.0,True,True,35.26,81.25,59.17,通過,通過
6,6139,亞翔,636.0,1.68,5.12,13.8,60.06,62.8,2,47.5,637553.0,-5051.0,2144672.0,-105880.0,True,True,34.6,79.96,58.19,通過,通過
7,5284,jpp-KY,308.5,2.19,6.01,12.17,12.88,63.3,1,47.5,878970.0,0.0,1154433.0,0.0,True,True,30.01,83.1,57.62,通過,通過
8,3450,聯鈞,306.5,1.69,5.87,11.25,95.3,61.7,2,-25.6,1106625.0,-537.0,11113349.0,-1229.0,True,True,32.26,75.8,54.9,通過,通過
9,3413,京鼎,315.0,2.0,2.11,3.82,12.34,57.5,3,26.8,1062000.0,-610000.0,2483030.0,-453000.0,True,True,24.84,82.2,54.67,通過,通過
10,3090,日電貿,100.0,1.75,0.1,6.58,6.78,58.7,3,34.1,1347000.0,-9160.0,4194931.0,-30793.0,True,True,25.52,81.17,54.46,通過,通過
11,6691,洋基工程,630.0,1.69,5.0,3.47,6.22,58.4,2,112.7,333598.0,-6893.0,483546.0,69219.0,True,True,21.66,84.7,54.44,通過,通過
12,3706,神達,83.0,2.21,6.14,4.2,21.65,57.9,1,43.2,9836750.0,-4781.0,14052380.0,-5781.0,True,True,20.29,83.32,53.07,通過,通過
13,3028,增你強,59.4,2.47,-1.33,11.68,9.51,63.7,4,125.2,891900.0,0.0,2155901.0,0.0,True,True,37.24,67.66,53.06,通過,通過
14,6191,精成科,99.1,2.36,3.99,3.35,14.04,53.8,1,78.2,521280.0,0.0,1023119.0,-976596.0,True,True,17.41,83.88,51.97,通過,通過
15,2337,旺宏,146.0,2.29,2.82,17.38,297.01,60.3,2,96.5,-8924062.0,1737000.0,-37691257.0,3427000.0,True,True,38.35,61.53,50.4,通過,通過
16,4764,雙鍵,155.0,2.03,3.68,12.03,13.38,61.6,3,50.3,42000.0,-1000.0,972000.0,-4000.0,True,True,36.76,60.83,49.28,通過,通過
17,3406,玉晶光,455.5,1.54,1.22,4.31,3.12,57.0,2,14.3,226600.0,-3146.0,226799.0,-9146.0,True,True,18.4,75.77,48.23,通過,通過
18,2489,瑞軒,45.3,2.61,5.96,19.25,99.91,65.4,2,11.2,-7937047.0,6611000.0,-1624900.0,7198000.0,True,True,44.8,50.22,47.62,通過,通過
19,6658,聯策,81.7,2.32,8.79,22.68,4.25,73.9,1,60.9,99000.0,0.0,666000.0,0.0,True,True,46.31,44.38,45.31,通過,通過
20,4977,眾達-KY,203.0,1.92,7.41,12.37,39.5,62.2,2,-19.4,2313897.0,0.0,787895.0,0.0,True,True,35.86,47.38,41.85,通過,通過
21,2377,微星,90.8,1.61,-0.87,-1.7,6.89,48.3,1,-11.9,217079.0,-71000.0,2399098.0,-75000.0,False,True,0.0,76.16,39.6,未通過,通過
22,6937,天虹,284.5,2.08,3.08,10.29,4.9,62.6,1,26.6,-70960.0,139000.0,183040.0,137000.0,True,True,24.34,52.63,39.05,通過,通過
23,8112,至上,81.6,1.78,-1.21,2.02,23.32,52.5,1,191.7,-4967458.0,2696.0,-4407459.0,8414.0,True,True,8.77,55.93,33.29,通過,通過
24,1711,永光,38.7,1.84,5.59,12.29,25.31,58.8,1,28.2,-4344730.0,26000.0,-2052091.0,38000.0,True,True,28.77,29.38,29.09,通過,通過
25,9904,寶成,28.4,1.84,-0.53,-2.39,3.63,40.9,0,-11.1,-6094334.0,-235774.0,-8682333.0,-185282.0,False,True,0.0,46.7,24.28,未通過,通過
26,1216,統一,71.8,1.59,-0.28,0.69,9.8,50.1,0,2.6,-2095153.0,-1928000.0,-2575497.0,-2071785.0,False,True,0.0,44.85,23.32,未通過,通過
27,2484,希華,31.75,1.88,4.44,11.57,3.62,59.8,3,-4.6,332000.0,0.0,1844519.0,0.0,True,False,36.58,0.0,17.56,通過,未通過
28,2303,聯電,62.0,1.14,3.33,4.21,94.66,56.6,1,4.9,23681756.0,-116455.0,16414793.0,26774660.0,False,False,0.0,0.0,0.0,未通過,未通過
29,2027,大成鋼,37.75,0.92,-1.95,1.67,13.57,53.5,5,25.1,4670776.0,894000.0,19973776.0,896000.0,False,False,0.0,0.0,0.0,未通過,未通過
30,2049,上銀,242.0,1.06,-1.22,2.83,10.91,54.7,5,17.4,1349148.0,559.0,4224930.0,-441.0,False,False,0.0,0.0,0.0,未通過,未通過
31,2059,川湖,3355.0,0.96,2.44,0.12,15.57,50.1,0,38.9,-12942.0,-14964.0,85630.0,-65426.0,False,False,0.0,0.0,0.0,未通過,未通過
32,1582,信錦,97.2,0.77,-2.7,5.89,9.53,55.9,2,-0.1,440959.0,-564.0,265339.0,-1194.0,False,False,0.0,0.0,0.0,未通過,未通過
33,1560,中砂,516.0,0.83,1.57,10.12,12.58,63.0,4,31.1,400924.0,-30000.0,1458881.0,159000.0,False,False,0.0,0.0,0.0,未通過,未通過
34,1528,恩德,27.2,0.59,0.55,14.85,5.27,61.3,0,30.9,-1642985.0,-2000.0,-2041835.0,-16000.0,False,False,0.0,0.0,0.0,未通過,未通過
35,1605,華新,31.65,1.09,0.64,-1.03,7.09,47.5,1,2.5,4006537.0,-60640.0,17563420.0,-100419.0,False,False,0.0,0.0,0.0,未通過,未通過
36,1727,中華化,55.7,2.43,9.86,9.39,5.68,61.7,1,53.2,1452000.0,-1000.0,2126000.0,-12000.0,False,False,0.0,0.0,0.0,未通過,未通過
37,1795,美時,215.5,0.73,1.17,-7.55,3.15,39.3,1,173.6,195343.0,0.0,187343.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
38,1802,台玻,57.7,0.91,-3.03,1.1,44.94,53.9,0,16.4,-18702114.0,0.0,-5919778.0,2000.0,False,False,0.0,0.0,0.0,未通過,未通過
39,1590,亞德客-KY,1115.0,1.28,3.72,7.92,12.66,62.1,0,18.1,-4126.0,-15000.0,198226.0,-31744.0,False,False,0.0,0.0,0.0,未通過,未通過
40,2002,中鋼,20.05,1.07,-0.74,3.08,9.19,56.2,7,-2.3,8475350.0,-199000.0,79421730.0,-268972.0,False,False,0.0,0.0,0.0,未通過,未通過
41,1402,遠東新,26.65,0.96,-0.93,-2.14,3.61,45.5,0,-3.3,-4334988.0,-144596.0,-7739381.0,-248227.0,False,False,0.0,0.0,0.0,未通過,未通過
42,1504,東元,59.7,0.96,0.34,-11.05,4.72,32.4,0,3.3,-1076789.0,-166707.0,-1944400.0,-385707.0,False,False,0.0,0.0,0.0,未通過,未通過
43,1513,中興電,150.5,0.8,0.33,-2.78,3.04,45.3,4,4.8,37712.0,1351.0,398058.0,1351.0,False,False,0.0,0.0,0.0,未通過,未通過
44,1326,台化,45.45,0.63,-0.33,1.38,8.42,53.1,2,21.6,-112885.0,12000.0,16260953.0,-1693000.0,False,False,0.0,0.0,0.0,未通過,未通過
45,1301,台塑,46.95,0.69,-0.95,-0.43,7.37,50.3,0,1.5,-2262518.0,-1000.0,3402394.0,-140113.0,False,False,0.0,0.0,0.0,未通過,未通過
46,1101,台泥,25.4,1.17,1.2,4.84,13.57,61.4,0,-9.0,-818420.0,-102000.0,-15376975.0,-172000.0,False,False,0.0,0.0,0.0,未通過,未通過
47,1102,亞泥,35.65,1.22,-0.7,2.48,3.84,57.6,0,-18.1,-4664359.0,-264820.0,-8210504.0,-441175.0,False,False,0.0,0.0,0.0,未通過,未通過
48,2356,英業達,44.3,1.23,1.14,4.5,9.02,57.4,3,47.1,6779547.0,-105689.0,14779990.0,2173365.0,False,False,0.0,0.0,0.0,未通過,未通過
49,2355,敬鵬,53.9,1.53,1.89,16.16,33.79,68.2,0,5.7,-2716792.0,-34040.0,1883208.0,-58067.0,False,False,0.0,0.0,0.0,未通過,未通過
50,2354,鴻準,50.1,0.96,-0.99,-5.65,2.63,37.4,0,-61.1,-352932.0,-1000.0,430851.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
