rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
36,2324,仁寶,29.0,0.96,2.84,-4.6,7.94,45.8,2,17.0,4503478.0,-1212216.0,-2463547.0,-3027259.0,False,False,0.0,0.0,0.0,未通過,未通過
37,2317,鴻海,200.0,0.76,-0.25,-2.85,74.96,45.3,1,45.6,7366274.0,-4412722.0,-2547479.0,-5353313.0,False,False,0.0,0.0,0.0,未通過,未通過
38,2316,楠梓電,113.0,1.45,-4.24,12.78,18.94,58.7,4,16.5,1898450.0,0.0,7345728.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
39,2344,華邦電,94.4,0.65,0.96,-8.84,89.83,44.3,2,91.5,6074055.0,-6439271.0,2860610.0,-8174523.0,False,False,0.0,0.0,0.0,未通過,未通過
40,2345,智邦,1820.0,0.71,-0.82,16.72,53.48,65.1,6,44.4,64397.0,68313.0,316557.0,360168.0,False,False,0.0,0.0,0.0,未通過,未通過
41,2347,聯強,82.0,0.97,3.4,8.19,4.62,65.0,1,64.7,1775179.0,-50030.0,289729.0,-735732.0,False,False,0.0,0.0,0.0,未通過,未通過
42,2351,順德,123.0,0.98,0.0,27.56,12.61,71.8,1,11.9,1105242.0,0.0,-640103.0,0.0,False,False,0.0,0.0,0.0,未通過,未通過
43,2353,宏碁,27.1,0.88,-0.37,-0.41,2.83,49.1,1,2.1,577986.0,-64988.0,-3602033.0,-1136820.0,False,False,0.0,0.0,0.0,未通過,未通過
44,2330,台積電,1990.0,0.88,-0.5,6.47,633.12,62.6,0,45.2,-1275387.0,-4823390.0,7606444.0,-5102414.0,False,False,0.0,0.0,0.0,未通過,未通過
45,2337,旺宏,147.5,1.03,1.03,17.52,156.99,60.9,0,96.5,-10975779.0,-1025000.0,-47893056.0,2522000.0,False,False,0.0,0.0,0.0,未通過,未通過
46,2338,光罩,44.7,0.9,-3.56,-6.94,1.46,47.2,0,-0.5,-1103627.0,0.0,-912189.0,1000.0,False,False,0.0,0.0,0.0,未通過,未通過
47,2357,華碩,578.0,0.96,0.0,2.97,16.72,57.7,1,33.8,-328075.0,84399.0,-755530.0,-37138.0,False,False,0.0,0.0,0.0,未通過,未通過
48,2360,致茂,1880.0,1.11,5.32,21.81,85.46,67.2,3,63.5,-1480287.0,843970.0,-1750166.0,1226906.0,False,False,0.0,0.0,0.0,未通過,未通過
49,2367,燿華,74.0,0.36,-1.33,2.02,27.6,55.5,0,-15.2,-1133612.0,-68000.0,2380069.0,-147075.0,False,False,0.0,0.0,0.0,未通過,未通過
50,2368,金像電,1055.0,0.66,-3.21,16.08,53.39,63.2,4,63.1,76820.0,-471783.0,1765510.0,-163996.0,False,False,0.0,0.0,0.0,未通過,未通過
51,2369,菱生,31.85,1.02,3.07,7.58,5.1,56.5,1,33.4,1440301.0,0.0,-4632247.0,-1000.0,False,False,0.0,0.0,0.0,未通過,未通過
