rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
1,2492,華新科,143.0,1.91,5.15,11.75,36.42,61.9,7,11.1,-241150.0,101000.0,1086657.0,109000.0,True,True,57.29,77.34,67.72,通過,通過
2,3406,玉晶光,518.0,3.29,7.69,17.27,30.77,75.4,4,14.3,460641.0,4000.0,719131.0,-2146.0,True,True,55.53,71.31,63.74,通過,通過
3,6209,今國光,62.8,2.47,3.8,16.47,9.56,65.0,1,75.6,642065.0,-16000.0,21361.0,-34000.0,True,True,33.68,79.63,57.57,通過,通過
4,3702,大聯大,96.5,1.95,-0.1,12.58,39.93,71.0,6,28.6,4426993.0,-3841000.0,13219728.0,-5172000.0,True,True,48.1,60.43,54.51,通過,通過
5,2375,凱美,85.2,2.62,-0.47,6.76,8.12,57.2,1,2.7,116200.0,0.0,-225541.0,-1360.0,True,True,17.6,80.92,50.53,通過,通過
6,5871,中租-KY,113.0,1.91,2.73,6.39,15.03,62.7,1,-2.9,2163882.0,-138411.0,646639.0,-386860.0,True,True,18.6,76.99,48.96,通過,通過
7,5269,祥碩,1190.0,1.59,5.78,1.59,15.87,53.5,1,39.9,134839.0,-270.0,1453.0,-6476.0,True,True,14.94,79.91,48.72,通過,通過
8,2495,普安,41.1,2.11,4.31,20.65,13.63,68.1,2,61.0,2221571.0,-25000.0,1133672.0,-54000.0,True,True,43.4,52.1,47.92,通過,通過
9,6531,愛普*,606.0,2.02,6.88,22.53,90.72,69.2,1,112.6,382803.0,-4736.0,-392055.0,-17338.0,True,True,43.2,47.82,45.6,通過,通過
10,1301,台塑,54.3,2.1,5.64,14.72,61.06,67.7,1,1.5,57996624.0,-644113.0,59059130.0,-645113.0,True,True,32.44,55.82,44.6,通過,通過
11,4927,泰鼎-KY,50.7,2.08,5.19,15.25,23.59,66.2,1,-10.7,5193000.0,0.0,7280762.0,0.0,True,True,32.56,51.24,42.27,通過,通過
12,3645,達邁,88.9,2.23,-1.66,15.81,32.35,66.8,1,23.8,1600800.0,0.0,359260.0,0.0,True,True,26.62,55.89,41.84,通過,通過
13,1802,台玻,68.2,1.95,7.57,19.45,197.51,65.9,1,16.4,20548430.0,0.0,8481817.0,2000.0,True,True,39.92,43.06,41.55,通過,通過
14,6937,天虹,313.0,1.52,0.16,19.26,6.94,69.9,1,26.6,21000.0,-8000.0,157040.0,128000.0,True,True,30.97,48.63,40.15,通過,通過
15,4960,誠美材,25.5,1.7,0.79,13.01,10.35,61.6,1,-23.9,1584000.0,0.0,-3427000.0,0.0,True,True,24.3,53.67,39.57,通過,通過
16,1711,永光,42.05,1.59,-1.18,18.54,32.95,63.3,1,28.2,409900.0,0.0,4123170.0,26000.0,True,True,28.87,49.11,39.39,通過,通過
17,6239,力成,217.5,1.83,-0.46,5.86,58.9,54.8,0,35.2,-2630366.0,-81185.0,-3667934.0,-1124075.0,False,True,0.0,50.66,26.34,未通過,通過
18,2059,川湖,3445.0,1.7,3.3,2.72,35.1,53.2,0,38.9,-168922.0,-2034.0,-115066.0,-66215.0,False,True,0.0,50.11,26.06,未通過,通過
19,3305,昇貿,119.5,1.53,0.42,12.66,14.76,62.8,0,72.7,-1335046.0,0.0,-154047.0,0.0,False,True,0.0,49.08,25.52,未通過,通過
